osm_id,nom,type,operateur,ville,region_osm,longitude,latitude,categorie
3678013907,Yimirali Health Clinic,clinic,NA,NA,NA,12.99477,10.61162,Centre/Clinique
3678013909,Zadawa Health Centre,doctors,NA,NA,NA,12.89423,10.6469,Centre/Clinique
3678059622,Banki Health Clinic,clinic,NA,NA,NA,14.1509,11.24883,Centre/Clinique
3678059623,Kumshe Clinic,clinic,NA,NA,NA,14.20968,11.35577,Centre/Clinique
3678512661,Centre de santé de Madagascar,clinic,NA,NA,NA,11.49373,3.88075,Centre/Clinique
3680111366,Bulungu Health Clinic,clinic,NA,NA,NA,13.79388,11.43372,Centre/Clinique
3680111367,Cocin Clinic Jebra,doctors,NA,NA,NA,13.76311,11.39766,Centre/Clinique
3680111368,Darajamal Health Post Clinic,clinic,NA,NA,NA,13.97111,11.32378,Centre/Clinique
3680111369,Dipchari Health Post,doctors,NA,NA,NA,13.90542,11.38613,Centre/Clinique
3680111370,Jeri Health Post,doctors,NA,NA,NA,13.94479,11.38833,Centre/Clinique
3680111371,Soye Health Clinic,doctors,NA,NA,NA,13.75693,11.46539,Centre/Clinique
3680835283,Goni Kurmi Dispensary,doctors,NA,NA,NA,13.63163,11.47685,Centre/Clinique
3680835284,Goniri Health Clinic,doctors,NA,NA,NA,13.67198,11.50491,Centre/Clinique
3680835285,Maternity and Child Health Bama,clinic,NA,NA,NA,13.68528,11.51657,Centre/Clinique
3682864586,Baale Health Clinic,doctors,NA,NA,NA,13.0674,11.20637,Centre/Clinique
3682864587,Bulanjilin Health Clinic,doctors,NA,NA,NA,13.3179,11.22636,Centre/Clinique
3682864588,Mulgoi Dispensary,doctors,NA,NA,NA,13.17281,11.2514,Centre/Clinique
3682864589,Ngwalimiri Dispensary,doctors,NA,NA,NA,13.08766,11.29488,Centre/Clinique
3682997507,Alhajiri Primary Health Clinic,clinic,NA,NA,NA,12.88123,11.47467,Centre/Clinique
3682997508,Bulabulin Ngaburawa Dispensary,doctor,NA,NA,NA,12.90739,11.3877,Centre/Clinique
3682997509,Fai Dispensary,doctors,NA,NA,NA,12.66453,11.29117,Centre/Clinique
3682997510,Nyaleri Primary Health Clinic,clinic,NA,NA,NA,12.84843,11.29487,Centre/Clinique
3682997511,Sandia Health Clinic,doctors,NA,NA,NA,12.81498,11.22686,Centre/Clinique
3682997512,Yajiwa Health Clinic,doctor,NA,NA,NA,12.72332,11.38855,Centre/Clinique
3682997513,Yerwa Dispensary,doctors,NA,NA,NA,12.86987,11.27307,Centre/Clinique
3683060447,Ajigin Mairi Dispensary,doctors,NA,NA,NA,12.27931,11.16907,Centre/Clinique
3683060448,Ajigin Mairi Health Clinic,clinic,NA,NA,NA,12.28704,11.17089,Centre/Clinique
3683060449,Buratai. Health Centre,doctors,NA,NA,NA,12.08489,10.9048,Centre/Clinique
3683072823,Gorgore Dispensary,doctors,NA,NA,NA,12.11973,11.24385,Centre/Clinique
3684296931,Amazing Pharmacy,pharmacy,NA,NA,NA,9.28815,4.15622,Pharmacie
3684296934,Manyemen Hospital,hospital,NA,NA,NA,9.24001,4.15767,Hopital
3684296935,OSM_3684296935,clinic,NA,NA,NA,9.28176,4.15834,Centre/Clinique
3684296937,Doctor Danbaba,clinic,NA,NA,NA,9.30183,4.15404,Centre/Clinique
3684296939,Good Sheperd Clinic,clinic,NA,NA,NA,9.29436,4.15424,Centre/Clinique
3684296940,Grosmelf Lab,pharmacy,NA,NA,NA,9.28964,4.1548,Pharmacie
3684296942,Health Centre,clinic,NA,NA,NA,9.28465,4.15704,Centre/Clinique
3684296943,Health District,hospital,NA,NA,NA,9.23748,4.16312,Hopital
3684296948,Kahwa Sumbele Medical Center,clinic,NA,NA,NA,9.30054,4.15545,Centre/Clinique
3684296956,Pharmacy Enamen,pharmacy,NA,NA,NA,9.28251,4.15936,Pharmacie
3684296957,OSM_3684296957,pharmacy,NA,NA,NA,9.29113,4.15502,Pharmacie
3684296959,Presbyterian Church Health Service Dispensary,clinic,NA,NA,NA,9.23269,4.16007,Centre/Clinique
3684296961,Restoration Health Centre,clinic,NA,NA,NA,9.29145,4.15243,Centre/Clinique
3684296962,Royal Pharmacy,pharmacy,NA,NA,NA,9.25261,4.15359,Pharmacie
3684296964,Salvation Pharmacy,pharmacy,NA,NA,NA,9.26032,4.15442,Pharmacie
3684296965,Seven Day Health Center,doctors,NA,NA,NA,9.25941,4.15407,Centre/Clinique
3684296970,Winner's Pharmacy,pharmacy,NA,NA,NA,9.25741,4.15399,Pharmacie
3698438713,Biaka Junction,hospital,NA,NA,NA,9.27466,4.15897,Hopital
3750523172,Centre de Santé de Fondjomekwet,clinic,NA,NA,NA,10.16745,5.28624,Centre/Clinique
3779854152,OSM_3779854152,clinic,NA,NA,NA,13.70126,4.57801,Centre/Clinique
3810629796,Hopital de District de Kouoptamo,hospital,MINSANTE,Kouoptamo,NA,10.61228,5.65441,Hopital
4026340902,OSM_4026340902,clinic,NA,NA,NA,15.27492,13.02442,Centre/Clinique
4026340905,OSM_4026340905,clinic,NA,NA,NA,15.33639,13.09994,Centre/Clinique
4026340912,OSM_4026340912,clinic,NA,NA,NA,15.45627,12.97856,Centre/Clinique
4052965487,OSM_4052965487,pharmacy,NA,NA,NA,9.69965,4.02689,Pharmacie
4058999986,OSM_4058999986,pharmacy,NA,N'Djaména,NA,15.1335,12.08549,Pharmacie
4075477632,عيادة كارال,clinic,NA,كارال,NA,14.76697,12.84253,Centre/Clinique
4102253874,"Centre Medical ""Le Fennec""",clinic,NA,NA,NA,15.04453,12.11061,Centre/Clinique
