r,obs,theo,lo,hi,fonction,nsim
23750,11702995762.273506,1772054606.1654928,1552758673.1390636,2002020383.5446916,K,39
24166.666666666668,11911882979.267616,1834777376.159039,1580028150.2718067,2092484958.8325655,K,39
24583.333333333336,12147761850.144201,1898590976.935082,1632813055.0693057,2131817382.8707716,K,39
25000,12366296686.39751,1963495408.4936206,1694395443.9997213,2192127099.7293544,K,39
25416.666666666668,12584831522.650818,2029490670.8346565,1764642424.5534928,2298186870.0398345,K,39
25833.333333333336,12744396641.18498,2096576763.9581888,1823222602.5570118,2346825745.5962334,K,39
26250,12910899373.568453,2164753687.864217,1885037202.6831813,2407624340.0417314,K,39
26666.666666666668,13115175990.82231,2234021442.552742,1934924765.7031522,2493087035.499247,K,39
27083.333333333336,13321279117.63568,2304380028.0237637,2033196332.9407065,2554092427.885036,K,39
27500,13489902903.934866,2375829444.277281,2105482946.235941,2611030794.1117725,K,39
27916.666666666668,13644474708.042452,2448369691.3132954,2197047814.118301,2734207552.253182,K,39
28333.333333333336,13756890565.575243,2522000769.1318064,2251834987.4654284,2837753574.3071775,K,39
28750,14001722785.64516,2596722677.7328134,2310706490.4057007,2895081929.343686,K,39
29166.666666666668,14113047316.781923,2672535417.1163173,2381013205.620524,3009738639.4167037,K,39
29583.333333333336,14276203933.160906,2749438987.2823176,2443768592.4353285,3116205584.484505,K,39
30000,14467735613.25797,2827433388.230814,2500719591.6925716,3159785828.850747,K,39
30416.666666666668,14669539434.928303,2906518619.9618073,2594717775.6299367,3282005964.9866443,K,39
30833.333333333336,14886198482.91147,2986694682.4752965,2659415365.747907,3326461506.4782653,K,39
31250,15114012576.810755,3067961575.771282,2744920619.2795486,3392659745.4131565,K,39
31666.666666666668,15320162066.372423,3150319299.8497653,2808931113.8306494,3471270154.1483393,K,39
32083.333333333336,15600189573.89075,3233767854.710744,2858571905.5233397,3540804527.9239187,K,39
32500,15814498897.92074,3318307240.354219,2936178406.383079,3641850079.2558737,K,39
32916.66666666667,16027983244.414082,3403937456.7801914,3016140343.6146245,3726054705.3658357,K,39
33333.333333333336,16263939246.920475,3490658503.9886594,3136475415.2388887,3807479682.542922,K,39
33750,16489929408.054522,3578470381.979624,3227980209.286506,3925125748.118028,K,39
34166.66666666667,16688784074.408762,3667373090.7530856,3277812940.790105,3989971319.350985,K,39
34583.333333333336,16913902564.62111,3757366630.309043,3353119404.96787,4066415096.974469,K,39
35000,17215664844.25978,3848451000.6474967,3428565428.938404,4182811604.1439004,K,39
35416.66666666667,17557366249.14474,3940626201.7684484,3508536149.0594945,4297153657.254817,K,39
35833.333333333336,17820189444.231857,4033892233.6718946,3599325088.926529,4431592538.389769,K,39
36250,18046866386.740456,4128249096.3578377,3702794375.816479,4512122069.303905,K,39
36666.66666666667,18280735065.6183,4223696789.8262787,3781694179.361697,4612007664.365654,K,39
37083.333333333336,18522399367.12541,4320235314.077214,3834033486.422727,4765173970.5623,K,39
37500,18830881309.56695,4417864669.110646,3901867896.68312,4853679396.57247,K,39
