DHSCLUST,Aridity_2015,Rainfall_2015,Malaria_Prevalence_2015,Enhanced_Vegetation_Index_2015,Nightlights_Composite,Travel_Times_2015,Proximity_to_Water,All_Population_Count_2015,Slope,Drought_Episodes,Growing_Season_Length
336,36.56145095825195,1435,0.43866920471191406,4464,0,142.82432432432432,163856.25316455695,1541.646728515625,0.2633872367240287,1,-801
337,11.652567863464355,841.75,0.21358999184199745,2140.090909090909,0.00179825548975963,84.16935483870968,113340.43037974685,21814.619140625,0.09818384724278605,2,5
338,37.640865325927734,1287.2,0.4138856274741037,4422.111111111111,0,432.0326086956522,299175.6971608833,1823.96728515625,0.23268289151399033,1,-801
339,42.5,1829.7,0.0893707126379013,3443,0.00166430734652466,23.050938337801608,178036.82278481012,125055.203125,0.8425139971776558,2,4
341,34.740333557128906,1338.5,0.4178627218518938,4132.777777777777,0.00565925814800765,130.81842818428186,78971.56190476191,12114.048828125,1.001649603288025,-9999,5
342,36.7579460144043,1493.3333333333333,0.2144010066986084,3245.75,0.04813851706914272,25.194666666666667,129769.48101265825,11563.9189453125,1.1148174641927084,1,-807
343,58.0782585144043,2643,0.07472863793373108,1466,15.176417300575658,0,3375.282645089286,312426.53125,0,2,-807
344,30.227991104125977,1525.5,0.366645131792341,3657.3333333333335,0,110.6267029972752,168940.1635220126,2075.987060546875,3.975541366868188,2,4
345,58.0782585144043,2643,0.0799097865819931,1466,15.689010620117188,0,3060.8951822916665,282639.15625,0,2,-807
346,34.9431266784668,2105.2,0.1339767138163249,3695.25,0.00220177896290573,28.286103542234333,199820.2920634921,32370.49609375,2.614051590173706,2,3
347,55.764705657958984,1988,0.04471787437796593,4760,2.5206140790666853,0.15384615384615383,95495.67307692308,152662,2.3046173682579627,2,-807
349,44.5058479309082,1574.6,0.34881483713785805,3906.181818181818,0,119.0136612021858,87895.48881789137,2835.808349609375,0.6074084922915599,-9999,5
350,47.402366638183594,1658,0.07376689910888672,3912.9,0.04808329567363638,14.134048257372656,152655.41587301588,208433.46875,1.839499793167728,2,4
351,13.62778663635254,1006.3333333333334,0.16418840203966414,2906.5833333333335,0.00301537115039634,52.76819407008086,79951.98734177215,28166.8671875,4.498798051613039,2,1
352,15.235610961914063,889,0.17260584235191345,2509,8.320680236816406,0.6,85448.23863636363,19567.2734375,1.031170908610026,2,-807
353,36.98813247680664,1338,0.2108125239610672,4273,0.07539694188004833,63.285714285714285,230234.91666666663,11064.052734375,0.13161214760371617,-9999,5
354,38.24444580078125,1340.5,0.423001766204834,4650.222222222223,0.01285044481700889,102.3125,39230.19292604502,28926.9140625,0.900808748991593,-9999,4
355,42.5,1811.8,0.04560183103267963,3747.6,0.01024838490949062,15.842818428184282,181949.16455696203,113812.03125,4.007518075669038,2,3
