x,y,densite,bandwidth,sigma_m,sous_population
-98003.59468524384,661635.9897437885,5.321701072662111e-4,petit,35770.82265737722,tous
-98003.59468524384,672162.6770918437,4.707702381260499e-4,petit,35770.82265737722,tous
-98003.59468524384,682689.364439899,4.0659090804274735e-4,petit,35770.82265737722,tous
-98003.59468524384,693216.0517879543,3.4030142960002585e-4,petit,35770.82265737722,tous
-98003.59468524384,703742.7391360096,2.747741531055329e-4,petit,35770.82265737722,tous
-98003.59468524384,714269.4264840649,2.137511121733807e-4,petit,35770.82265737722,tous
-98003.59468524384,724796.1138321201,1.6051164502965313e-4,petit,35770.82265737722,tous
-90877.1025402425,398468.8060424066,0.005281044097023614,petit,35770.82265737722,tous
-90877.1025402425,408995.4933904619,0.00657101003054545,petit,35770.82265737722,tous
-90877.1025402425,419522.18073851714,0.007681501514287054,petit,35770.82265737722,tous
