DHSCLUST,region_eds,milieu,lat,lon,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy_menage,Travel_Times_2015,Nightlights_Composite,Aridity_2015,Malaria_Prevalence_2015,All_Population_Count_2015
112,SUD,R,2.89871,11.087841,28,14.588587999999998,46.42857142857143,100,7.2857142857142865,53.53405994550409,0.10578760786335296,41.514286041259766,0.31536489725112915,136702.390625
113,CENTRE,R,3.541589,11.97156,28,24.968580000000003,21.428571428571427,50,6.678571428571428,116.46594005449592,0,35.7159423828125,0.40206967081342426,10526.927734375
114,OUEST,R,5.493714,10.282935,26,22.400014000000002,84.61538461538461,84.61538461538461,3.8076923076923075,11.803234501347708,0.02006757863878478,47.402366638183594,0.08407250472477504,164228.53125
115,EXTREME-NORD,R,10.368687,14.312438,28,24.78952,82.14285714285714,0,4.678571428571429,48.31891891891892,8.8910830212149e-4,12.078824996948242,0.1985066682100296,42442.75
116,NORD-OUEST,U,6.187259,10.857805,26,19.140082,96.15384615384615,73.07692307692307,3.7692307692307687,32.4,0.05368074199609589,42.581581115722656,0.08847431093454361,2453.1494140625
117,EST,U,4.568186,13.67567,28,17.811696,96.42857142857143,100,4.714285714285714,0,2.937084329539332,36.56145095825195,0.23917677998542783,40926.3828125
118,NORD,R,9.223458,13.78377,28,40.084072,32.14285714285714,35.71428571428571,7.071428571428571,76.152,0.00358395148791781,15.152363777160645,0.26160578727722167,9498.9140625
119,EST,R,2.028929,15.13599,28,15.563996000000001,14.285714285714285,3.571428571428571,7.071428571428572,836.3586956521739,0.00373469681843467,39.174556732177734,0.3924298286437988,1809.463623046875
120,LITTORAL,U,5.087755,9.856234,28,12.655776,28.57142857142857,85.71428571428572,6.678571428571429,26.214285714285715,0.01743577718734741,51.96783447265625,0.08331002295017242,251.8959045410156
121,DOUALA,U,4.095782,9.667228,27,49.213683,100,100,3.6296296296296293,0.13333333333333333,4.834169086657073,58.0782585144043,0.15802977979183197,103505.484375
122,NORD,U,9.920982,13.944999,27,23.944923,96.2962962962963,88.8888888888889,4.518518518518518,1.0625,1.410552978515625,13.223880767822266,0.1548432558774948,65848.3125
123,ADAMAOUA,R,7.507565,13.855296,28,32.928756,50,0,4.75,54.2972972972973,0,36.7579460144043,0.2796684801578522,1000.1116943359376
125,DOUALA,U,4.078127,9.679091,27,33.351669,100,92.59259259259258,3.6296296296296293,0,9.676283855827489,58.0782585144043,NA,110105.9453125
