dhsclust,region_eds,milieu,lon,lat,n_menages,poids_total,tx_eau_amelioree,tx_electricite,taille_moy
267,EXTREME-NORD,R,14.929782,10.1799,27,39.190473000000004,51.85185185185185,0,4.962962962962963
268,OUEST,U,10.178126,5.152931,28,28.813176,100,100,4.25
269,ADAMAOUA,R,11.685156,6.989541,28,11.379676,0,0,4.892857142857142
270,DOUALA,U,9.726097,4.066957,28,21.930747999999998,100,100,4.464285714285714
271,EXTREME-NORD,R,13.606848,10.448001,25,55.154199999999996,40.00000000000001,0,5.239999999999999
272,YAOUNDE,U,11.495455,3.836988,27,12.92544,96.2962962962963,96.2962962962963,4.555555555555555
273,OUEST,U,10.398431,5.499329,28,25.9791,100,100,6.107142857142858
274,CENTRE,R,11.38921,3.68908,27,23.60421,92.5925925925926,55.55555555555555,4.148148148148148
275,LITTORAL,R,9.884909,4.709465,27,20.101634999999998,66.66666666666667,0,4.2592592592592595
276,ADAMAOUA,R,12.404241,7.796327,28,17.828132,64.28571428571429,0,4.464285714285714
277,EST,R,14.602434,4.300911,28,15.385103999999998,35.714285714285715,0,4.75
278,EXTREME-NORD,R,13.778282,10.329202,28,43.324876,57.142857142857146,0,8.999999999999998
279,CENTRE,R,11.282884,3.480306,26,21.701498,69.23076923076924,38.46153846153847,4.230769230769231
281,LITTORAL,R,9.601975,4.320179,28,16.828112,85.71428571428571,96.42857142857143,3.392857142857143
282,DOUALA,U,9.723274,4.031571,27,26.983125,96.29629629629629,96.29629629629629,4.333333333333333
283,DOUALA,U,9.727625,4.072673,28,29.96392,100,100,3.7500000000000004
284,EST,R,14.713289,4.211697,28,11.296768,53.57142857142857,3.571428571428571,4.321428571428571
286,ADAMAOUA,U,14.299793,6.528962,28,25.697364,85.71428571428572,74.99999999999999,4.071428571428571
287,EST,R,12.933707,4.038017,28,10.391696,78.57142857142858,7.142857142857143,4.607142857142858
288,NORD-OUEST,R,10.618784,6.457525,25,43.863475,68,0,4.04
289,EXTREME-NORD,U,14.238402,10.977955,27,39.281409,88.88888888888889,59.25925925925926,6.444444444444445
291,SUD,R,10.115193,2.788604,28,7.624428,100,85.71428571428572,4.892857142857143
292,DOUALA,U,9.732336,4.010717,28,32.387264,100,96.42857142857143,3.5714285714285707
293,YAOUNDE,U,11.530496,3.849152,26,18.306106,92.3076923076923,92.3076923076923,3.230769230769231
295,CENTRE,R,11.301899,3.962755,28,30.83654,7.142857142857143,3.5714285714285716,7.75
296,OUEST,U,10.259038,5.617627,28,34.398896,92.85714285714285,96.42857142857143,4.999999999999999
297,LITTORAL,R,9.873166,4.19443,27,11.489769,88.8888888888889,81.48148148148148,3.851851851851852
298,EST,R,13.809414,4.253892,28,22.319248,53.57142857142857,0,6.428571428571429
