x,y,pop,frac_inondee
15.357083,10.264584,0.6695,0
15.357916,10.264584,7.2626,0
15.358749,10.264584,14.036,0
15.359583,10.264584,14.2183,0
15.360416,10.264584,6.7596,0
15.332916,10.26375,0.1454,0.9309
15.333749,10.26375,2.285,0.592
15.334583,10.26375,5.555,1
15.335416,10.26375,6.8641,0.9159
15.336249,10.26375,6.616,1
15.337083,10.26375,3.2453,0.6377
15.350416,10.26375,0.0897,0
15.351249,10.26375,0.0902,0
15.354583,10.26375,0.4185,0
15.355416,10.26375,2.2597,0
15.356249,10.26375,1.8412,0
15.357083,10.26375,1.5918,0
15.357916,10.26375,7.9661,0
15.358749,10.26375,12.6471,0
15.359583,10.26375,10.8937,0
15.360416,10.26375,6.1447,0
15.332916,10.262917,1.5607,0.3635
15.333749,10.262917,6.6198,0.3973
15.334583,10.262917,10.8619,0.2949
15.335416,10.262917,15.3795,0.654
15.336249,10.262917,12.6359,0.9122
15.337083,10.262917,6.1243,0.7947
15.337916,10.262917,0.3612,0.7715
15.338749,10.262917,0.1457,0.8897
15.352916,10.262917,1.9249,0
15.354583,10.262917,1.0043,0
15.355416,10.262917,4.0266,0
15.356249,10.262917,3.3664,0
15.357083,10.262917,0.9206,0
15.357916,10.262917,3.4995,0
15.358749,10.262917,5.3964,0
15.359583,10.262917,3.522,0
15.360416,10.262917,0.851,0
15.326249,10.262084,0.1674,1
15.327083,10.262084,1.1778,1
15.327916,10.262084,1.6467,1
15.328749,10.262084,0.7688,1
15.329583,10.262084,0.1674,1
15.330416,10.262084,1.5065,1
15.332916,10.262084,3.6142,0.6732
15.333749,10.262084,8.4687,0
15.334583,10.262084,18.4817,0.2135
15.335416,10.262084,21.3571,0.3956
15.336249,10.262084,18.5831,0.3742
15.337083,10.262084,7.2945,0.5844
15.337916,10.262084,3.2612,0.7753
15.338749,10.262084,0.7906,0.934
15.339583,10.262084,0.1454,1
15.354583,10.262084,0.5859,0
15.355416,10.262084,2.7619,0
15.356249,10.262084,2.176,0
15.357916,10.262084,1.7832,0
15.358749,10.262084,3.4314,0
15.359583,10.262084,1.5918,0
15.326249,10.26125,0.1853,0.7024
15.327083,10.26125,2.4271,0.9704
15.327916,10.26125,3.2802,1
15.328749,10.26125,1.5451,1
15.329583,10.26125,0.3348,1
15.332916,10.26125,3.4255,0.716
15.333749,10.26125,8.1204,0.0982
15.334583,10.26125,14.1142,0.332
15.335416,10.26125,14.7448,0.3446
15.336249,10.26125,12.1523,0.7632
15.337083,10.26125,7.1195,0.753
15.337916,10.26125,4.8482,0.804
15.338749,10.26125,1.6199,1
15.339583,10.26125,0.3944,1
15.357916,10.26125,0.9325,0
15.358749,10.26125,1.7579,0
15.359583,10.26125,0.8369,0
15.326249,10.260417,5.1575,0.3014
15.327083,10.260417,8.5641,0.3473
15.327916,10.260417,7.8883,0.5725
15.328749,10.260417,3.714,0.9644
15.329583,10.260417,0.9991,1
15.330416,10.260417,0.1407,1
15.332916,10.260417,1.2228,0.9955
15.333749,10.260417,6.7345,0.6567
15.334583,10.260417,7.4912,0.7639
15.335416,10.260417,5.9814,0.4746
15.336249,10.260417,2.2673,0.9971
15.337083,10.260417,3.287,0.944
15.337916,10.260417,3.5642,0.2752
15.338749,10.260417,1.46,0.5957
15.339583,10.260417,0.4631,0.6563
15.359583,10.260417,4.267,0
15.360416,10.260417,6.7441,0
15.361249,10.260417,6.4608,0.0099
15.326249,10.259584,5.9106,0
15.327083,10.259584,10.1427,0
15.327916,10.259584,11.7658,0
15.328749,10.259584,6.987,0.1714
15.329583,10.259584,4.7884,0.6026
15.330416,10.259584,1.9519,0.6599
15.331249,10.259584,0.1483,0.9588
15.332916,10.259584,0.6261,1
15.333749,10.259584,2.6408,0.9282
15.334583,10.259584,3.7126,0.826
15.335416,10.259584,2.447,0.4855
15.336249,10.259584,0.7787,0.9102
15.337083,10.259584,0.4779,0.9783
15.337916,10.259584,0.8504,0.5575
15.338749,10.259584,0.8152,0.2302
15.339583,10.259584,0.2519,0.66
15.358749,10.259584,0.1509,0
15.359583,10.259584,6.3357,0
15.360416,10.259584,9.6615,0.1086
15.361249,10.259584,8.7965,0.6485
15.326249,10.25875,4.4314,0
15.327083,10.25875,7.0089,0
15.327916,10.25875,8.0533,0
15.328749,10.25875,7.3771,0
15.329583,10.25875,6.8417,0.0517
15.330416,10.25875,3.4628,0.7627
15.331249,10.25875,0.5143,0.1381
15.332083,10.25875,1.501,0.0506
15.332916,10.25875,5.1921,0.3503
15.333749,10.25875,5.8939,0.8074
15.334583,10.25875,1.8309,0.2301
15.335416,10.25875,1.0184,0.4283
15.336249,10.25875,1.1928,0.707
15.337083,10.25875,1.0934,0.9636
15.337916,10.25875,0.3622,0.4501
15.338749,10.25875,0.5436,0.6079
15.339583,10.25875,0.2437,0.5129
15.358749,10.25875,0.2378,0
15.359583,10.25875,6.3259,0
15.360416,10.25875,10.2179,0
15.361249,10.25875,7.2234,0
